| ROM    | Address Range   | Size  | Description                     | Notes                      |
| m4.4h  | 0xD7F8-0xD7FA   | 3B    | Value 22                        | 00 90 00                   |
| m4.4h  | 0xD7FB-0xD7FD   | 3B    | Value 23                        | 00 99 00                   |
| m4.4h  | 0xD7FE-0xD800   | 3B    | Value 24                        | 11 00 00                   |
| m4.4h  | 0xD801-0xD803   | 3B    | Likely Invalid Pointer          | 0D 22 27                   |
| m4.4h  | 0xD804-0xD978   | 372B  | Unknown (Code/Data)             | Unknown                    |
| m4.4h  | 0xD979-0xD980   | 8B    | Map Level Block Range           | Pointers to map data       |
| m4.4h  | 0xD981-0xD9A0   | 32B   | Map Level Data                  | 8B per map                 |
| m4.4h  | 0xD9A1-0xDFFF   | 1631B | Unknown (Code/Data)             | Unknown                    |
| m5.5h  | 0xE000-0xE55F   | 1376B | Unknown (Code/Data)             | Unknown                    |
| m5.5h  | 0xE560-0xE560   | 1B    | Unknown Table                   | Unknown                    |
| m5.5h  | 0xE561-0xEFFF   | 2719B | Unknown (Code/Data)             | Unkonwn                    |
| j6.6h  | 0x0000-0x001F   | 32B   | Font Graphic : 0                | 8×8px, 4bpp                |
| j6.6h  | 0x0020-0x003F   | 32B   | Font Graphic : 1                | 8×8px, 4bpp                |
| j6.6h  | 0x0040-0x005F   | 32B   | Font Graphic : 2                | 8×8px, 4bpp                |
| j6.6h  | 0x0060-0x007F   | 32B   | Font Graphic : 3                | 8×8px, 4bpp                |
| j6.6h  | 0x0080-0x009F   | 32B   | Font Graphic : 4                | 8×8px, 4bpp                |
| j6.6h  | 0x00A0-0x00BF   | 32B   | Font Graphic : 5                | 8×8px, 4bpp                |
| j6.6h  | 0x00C0-0x00DF   | 32B   | Font Graphic : 6                | 8×8px, 4bpp                |
| j6.6h  | 0x00E0-0x00FF   | 32B   | Font Graphic : 7                | 8×8px, 4bpp                |
| j6.6h  | 0x0100-0x011F   | 32B   | Font Graphic : 8                | 8×8px, 4bpp                |
| j6.6h  | 0x0120-0x013F   | 32B   | Font Graphic : 9                | 8×8px, 4bpp                |
| j6.6h  | 0x0140-0x015F   | 32B   | Font Graphic : Copyright Symbol | 8×8px, 4bpp                |
| j6.6h  | 0x0160-0x017F   | 32B   | Font Graphic : Box              | 8×8px, 4bpp                |
| j6.6h  | 0x0180-0x019F   | 32B   | Font Graphic : Period (.)       | 8×8px, 4bpp                |
| j6.6h  | 0x01A0-0x01BF   | 32B   | Font Graphic : Exclamation (!)  | 8×8px, 4bpp                |
| j6.6h  | 0x01C0-0x01DF   | 32B   | Font Graphic : Question Mark (?)| 8×8px, 4bpp                |
| j6.6h  | 0x01E0-0x01FF   | 32B   | Font Graphic : Musical Note     | 8×8px, 4bpp                |
| j6.6h  | 0x0200-0x021F   | 32B   | Font Graphic : Blank Space ( )  | 8×8px, 4bpp                |
| j6.6h  | 0x0220-0x023F   | 32B   | Font Graphic : A                | 8×8px, 4bpp                |
| j6.6h  | 0x0240-0x025F   | 32B   | Font Graphic : B                | 8×8px, 4bpp                |
| j6.6h  | 0x0260-0x027F   | 32B   | Font Graphic : C                | 8×8px, 4bpp                |
| j6.6h  | 0x0280-0x029F   | 32B   | Font Graphic : D                | 8×8px, 4bpp                |
| j6.6h  | 0x02A0-0x02BF   | 32B   | Font Graphic : E                | 8×8px, 4bpp                |
| j6.6h  | 0x02C0-0x02DF   | 32B   | Font Graphic : F                | 8×8px, 4bpp                |
| j6.6h  | 0x02E0-0x02FF   | 32B   | Font Graphic : G                | 8×8px, 4bpp                |
| j6.6h  | 0x0300-0x031F   | 32B   | Font Graphic : H                | 8×8px, 4bpp                |
| j6.6h  | 0x0320-0x033F   | 32B   | Font Graphic : I                | 8×8px, 4bpp                |
| j6.6h  | 0x0340-0x035F   | 32B   | Font Graphic : J                | 8×8px, 4bpp                |
| j6.6h  | 0x0360-0x037F   | 32B   | Font Graphic : K                | 8×8px, 4bpp                |
| j6.6h  | 0x0380-0x039F   | 32B   | Font Graphic : L                | 8×8px, 4bpp                |
| j6.6h  | 0x03A0-0x03BF   | 32B   | Font Graphic : M                | 8×8px, 4bpp                |
| j6.6h  | 0x03C0-0x03DF   | 32B   | Font Graphic : N                | 8×8px, 4bpp                |
| j6.6h  | 0x03E0-0x03FF   | 32B   | Font Graphic : O                | 8×8px, 4bpp                |
| j6.6h  | 0x0400-0x041F   | 32B   | Font Graphic : P                | 8×8px, 4bpp                |
| j6.6h  | 0x0420-0x043F   | 32B   | Font Graphic : Q                | 8×8px, 4bpp                |
| j6.6h  | 0x0440-0x045F   | 32B   | Font Graphic : R                | 8×8px, 4bpp                |
| j6.6h  | 0x0460-0x047F   | 32B   | Font Graphic : S                | 8×8px, 4bpp                |
| j6.6h  | 0x0480-0x049F   | 32B   | Font Graphic : T                | 8×8px, 4bpp                |
| j6.6h  | 0x04A0-0x04BF   | 32B   | Font Graphic : U                | 8×8px, 4bpp                |
| j6.6h  | 0x04C0-0x04DF   | 32B   | Font Graphic : V                | 8×8px, 4bpp                |
| j6.6h  | 0x04E0-0x04FF   | 32B   | Font Graphic : W                | 8×8px, 4bpp                |
| j6.6h  | 0x0500-0x051F   | 32B   | Font Graphic : X                | 8×8px, 4bpp                |
| j6.6h  | 0x0520-0x053F   | 32B   | Font Graphic : Y                | 8×8px, 4bpp                |
| j6.6h  | 0x0540-0x055F   | 32B   | Font Graphic : Z                | 8×8px, 4bpp                |
| j6.6h  | 0xF560-0xF59F   | 64B   | Player Weapon/Bullet Sprite     | Needs Decode               |
| j6.6h  | 0xF5A0-0xF5BF   | 32B   | Player Count Sprite             | 8x8px,   4bpp, interleaved |
| j6.6h  | 0xF5C0-0xF8EF   | 815B  | Copyright Graphic               | 102x16px,4bpp, interleaved |
| j6.6h  | 0xF8F0-0xFB5F   | 624B  | Timer Banner Graphic            | 32x39px, 4bpp, interleaved |
| j6.6h  | 0xFB60-0xFBDF   | 128B  | Smart Bomb/Genie Lamp Sprite    | 16x14px, 4bpp, interleaved |
| j6.6h  | 0xFBE0-0xFC5F   | 128B  | Unknown Graphic(s)              | Likely UI element          |
| j6.6h  | 0xFC60-0xFE3F   | 480B  | Stage Banner Graphic            | 30x32px, 4bpp, interleaved |
| j6.6h  | 0xFE40-0xFFF7   | 440B  | Padding / Unused Bytes (0xFF)   | Unprogrammed Bytes         |
| j6.6h  | 0xFFF8-0xFFF9   | 2B    | Code Execution Start Address    | Value: A0 06               |
| j6.6h  | 0xFFFA-0xFFFD   | 4B    | Padding / Unused Bytes (0xFF)   | Unprogrammed Bytes         |
| j6.6h  | 0xFFFE-0xFFFF   | 2B    | Starting ROM Page               | Value: A0 00               |
| c1.1i  | 0x10000-0x1001F | 32B   | Tile 0x00 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10020-0x1003F | 32B   | Tile 0x01 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10040-0x1005F | 32B   | Tile 0x02 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10060-0x1007F | 32B   | Tile 0x03 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10080-0x1009F | 32B   | Tile 0x04 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x100A0-0x100BF | 32B   | Tile 0x05 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x100C0-0x100DF | 32B   | Tile 0x06 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x100E0-0x100FF | 32B   | Tile 0x07 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10100-0x1011F | 32B   | Tile 0x08 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10120-0x1013F | 32B   | Tile 0x09 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10140-0x1015F | 32B   | Tile 0x0A - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10160-0x1017F | 32B   | Tile 0x0B - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10180-0x1019F | 32B   | Tile 0x0C - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x101A0-0x101BF | 32B   | Tile 0x0D - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x101C0-0x101DF | 32B   | Tile 0x0E - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x101E0-0x101FF | 32B   | Tile 0x0F - Spawner Top Center  | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10200-0x1021F | 32B   | Tile 0x10 - Spawner Top Right   | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10220-0x1023F | 32B   | Tile 0x11 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10240-0x1025F | 32B   | Tile 0x12 - Spawner Mid Right   | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10260-0x1027F | 32B   | Tile 0x13 - Wall                | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10280-0x1029F | 32B   | Tile 0x14 - Spawner Bot Right   | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x102A0-0x102BF | 32B   | Tile 0x15 - Spawner Bot Center  | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x102C0-0x102DF | 32B   | Tile 0x16 - Keyhole Rising 1    | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x102E0-0x102FF | 32B   | Tile 0x17 - Flame (Unused)      | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10300-0x1031F | 32B   | Tile 0x18 - Spawner Bot Left    | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10320-0x1033F | 32B   | Tile 0x19 - Flame (Unused)      | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10340-0x1035F | 32B   | Tile 0x1A - Flame (Unused)      | 16×16px, 4bpp, interleaved |
| c1.1i  | 0x10360-0x1037F | 32B   | Tile 0x1B - Spawner Mid Left    | 16×16px, 4bpp, interleaved |
| c1.1h  | 0x10380-0x1039F | 32B   | Tile 0x1C - Flame (Unused)      | 16×16px, 4bpp, interleaved |
| c1.1h  | 0x103A0-0x103BF | 32B   | Tile 0x1D - Spawner Top Left    | 16×16px, 4bpp, interleaved |
| c1.1h  | 0x103C0-0x103DF | 32B   | Tile 0x1E - Keyhole Rising 2    | 16×16px, 4bpp, interleaved |
| c1.1h  | 0x103E0-0x103FF | 32B   | Tile 0x1F - Wall                | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11000-0x1101F | 32B   | Tile 0x20 - Wall                | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11020-0x1103F | 32B   | Tile 0x21 - Empty Ring Box      | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11040-0x1105F | 32B   | Tile 0x22 - Empty Key Box       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11060-0x1107F | 32B   | Tile 0x23 - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11080-0x1109F | 32B   | Tile 0x24 - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x110A0-0x110BF | 32B   | Tile 0x25 - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x110C0-0x110DF | 32B   | Tile 0x26 - Empty Path          | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x110E0-0x110FF | 32B   | Tile 0x27 - Wall                | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11100-0x1111F | 32B   | Tile 0x28 - Wall                | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11120-0x1113F | 32B   | Tile 0x29 - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11140-0x1115F | 32B   | Tile 0x2A - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11160-0x1117F | 32B   | Tile 0x2B - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11180-0x1119F | 32B   | Tile 0x2C - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x111A0-0x111BF | 32B   | Tile 0x2D - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x111C0-0x111DF | 32B   | Tile 0x2E - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x111E0-0x111FF | 32B   | Tile 0x2F - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11200-0x1121F | 32B   | Tile 0x30 - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11220-0x1123F | 32B   | Tile 0x31 - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11240-0x1125F | 32B   | Tile 0x32 - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11260-0x1127F | 32B   | Tile 0x33 - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11280-0x1129F | 32B   | Tile 0x34 - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x112A0-0x112BF | 32B   | Tile 0x35 - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x112C0-0x112DF | 32B   | Tile 0x36 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x112E0-0x112FF | 32B   | Tile 0x37 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11300-0x1131F | 32B   | Tile 0x38 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11320-0x1133F | 32B   | Tile 0x39 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11340-0x1135F | 32B   | Tile 0x3A - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11360-0x1137F | 32B   | Tile 0x3B - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x11380-0x1139F | 32B   | Tile 0x3C - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x113A0-0x113BF | 32B   | Tile 0x3D - Player Sprite       | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x113C0-0x113DF | 32B   | Tile 0x3E - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c2.2i  | 0x113E0-0x113FF | 32B   | Tile 0x3F - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12000-0x1201F | 32B   | Tile 0x40 - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12020-0x1203F | 32B   | Tile 0x41 - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12040-0x1205F | 32B   | Tile 0x42 - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12060-0x1207F | 32B   | Tile 0x43 - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12080-0x1209F | 32B   | Tile 0x44 - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x120A0-0x120BF | 32B   | Tile 0x45 - Vulture Sprite      | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x120C0-0x120DF | 32B   | Tile 0x46 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x120E0-0x120FF | 32B   | Tile 0x47 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12100-0x1211F | 32B   | Tile 0x48 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12120-0x1213F | 32B   | Tile 0x49 - Cobra Sprite        | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12140-0x1215F | 32B   | Tile 0x4A - Empty Crown Box     | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12160-0x1217F | 32B   | Tile 0x4B - Score Box (Unused)  | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12180-0x1219F | 32B   | Tile 0x4C - Score Box (Unused)  | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x121A0-0x121BF | 32B   | Tile 0x4D - Keyhole Rising 3    | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x121C0-0x121DF | 32B   | Tile 0x4E - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x121E0-0x121FF | 32B   | Tile 0x4F - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12200-0x1221F | 32B   | Tile 0x50 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12220-0x1223F | 32B   | Tile 0x51 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12240-0x1225F | 32B   | Tile 0x52 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12260-0x1227F | 32B   | Tile 0x53 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12280-0x1229F | 32B   | Tile 0x54 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x122A0-0x122BF | 32B   | Tile 0x55 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x122C0-0x122DF | 32B   | Tile 0x56 - Poof Cloud Sprite   | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x122E0-0x122FF | 32B   | Tile 0x57 - Poof Cloud Sprite   | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12300-0x1231F | 32B   | Tile 0x58 - Poof Cloud Sprite   | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12320-0x1233F | 32B   | Tile 0x59 - Poof Cloud Sprite   | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12340-0x1235F | 32B   | Tile 0x5A - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12360-0x1237F | 32B   | Tile 0x5B - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x12380-0x1239F | 32B   | Tile 0x5C - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x123A0-0x123BF | 32B   | Tile 0x5D - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x123C0-0x123DF | 32B   | Tile 0x5E - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c3.3i  | 0x123E0-0x123FF | 32B   | Tile 0x5F - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13000-0x1301F | 32B   | Tile 0x60 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13020-0x1303F | 32B   | Tile 0x61 - Player + Key Sprite | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13040-0x1305F | 32B   | Tile 0x62 - Filled Crown Box    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13060-0x1307F | 32B   | Tile 0x63 - Poof Cloud Sprite   | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13080-0x1309F | 32B   | Tile 0x64 - Left Teleport Tile  | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x130A0-0x130BF | 32B   | Tile 0x65 - Right Teleport Tile | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x130C0-0x130DF | 32B   | Tile 0x66 - Keyhole Rising 4    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x130E0-0x130FF | 32B   | Tile 0x67 - Poison (Unused)     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13100-0x1311F | 32B   | Tile 0x68 - Poison (Unused)     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13120-0x1313F | 32B   | Tile 0x69 - Poison (Unused)     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13140-0x1315F | 32B   | Tile 0x6A - Poison (Unused)     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13160-0x1317F | 32B   | Tile 0x6B - Explosion Sprite    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13180-0x1319F | 32B   | Tile 0x6C - Explosion Sprite    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x131A0-0x131BF | 32B   | Tile 0x6D - Explosion Sprite    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x131C0-0x131DF | 32B   | Tile 0x6E - Explosion Sprite    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x131E0-0x131FF | 32B   | Tile 0x6F - Filled Ring Box     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13200-0x1321F | 32B   | Tile 0x70 - Filled Key Box      | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13220-0x1323F | 32B   | Tile 0x71 - Keyhole Rising 5    | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13240-0x1325F | 32B   | Tile 0x72 - Keyhole             | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13260-0x1327F | 32B   | Tile 0x73 - Door Top Left       | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13280-0x1329F | 32B   | Tile 0x74 - Door Top Center     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x132A0-0x132BF | 32B   | Tile 0x75 - Door Top Right      | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x132C0-0x132DF | 32B   | Tile 0x76 - Door Mid Left       | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x132E0-0x132FF | 32B   | Tile 0x77 - Door Mid Center     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13300-0x1331F | 32B   | Tile 0x78 - Door Mid Right      | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13320-0x1333F | 32B   | Tile 0x79 - Door Bot Left       | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13340-0x1335F | 32B   | Tile 0x7A - Door Bot Center     | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13360-0x1337F | 32B   | Tile 0x7B - Door Bot Right      | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x13380-0x1339F | 32B   | Tile 0x7C - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x133A0-0x133BF | 32B   | Tile 0x7D - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x133C0-0x133DF | 32B   | Tile 0x7E - Bat Sprite          | 16×16px, 4bpp, interleaved |
| c4.4i  | 0x133E0-0x133FF | 32B   | Tile 0x7F - Rock (Unused)       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14000-0x1401F | 32B   | Tile 0x80 - 500 Score Box       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14020-0x1403F | 32B   | Tile 0x81 - 1000 Score Box      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14040-0x1405F | 32B   | Tile 0x82 - 1500 Score Box      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14060-0x1407F | 32B   | Tile 0x83 - 2000 Score Box      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14080-0x1409F | 32B   | Tile 0x84 - 3000 Score Box      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x140A0-0x140BF | 32B   | Tile 0x85 - 4000 Score Box      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x140C0-0x140DF | 32B   | Tile 0x86 - Tut Sprite          | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x140E0-0x140FF | 32B   | Tile 0x87 - Tut Sprite          | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14100-0x1411F | 32B   | Tile 0x88 - Tut Sprite          | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14120-0x1413F | 32B   | Tile 0x89 - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14140-0x1415F | 32B   | Tile 0x8A - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14160-0x1417F | 32B   | Tile 0x8B - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14180-0x1419F | 32B   | Tile 0x8C - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x141A0-0x141BF | 32B   | Tile 0x8D - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x141C0-0x141DF | 32B   | Tile 0x8E - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x141E0-0x141FF | 32B   | Tile 0x8F - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14200-0x1421F | 32B   | Tile 0x90 - Dragon Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14220-0x1423F | 32B   | Tile 0x91 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14240-0x1425F | 32B   | Tile 0x92 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14260-0x1427F | 32B   | Tile 0x93 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14280-0x1429F | 32B   | Tile 0x94 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x142A0-0x142BF | 32B   | Tile 0x95 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x142C0-0x142DF | 32B   | Tile 0x96 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x142E0-0x142FF | 32B   | Tile 0x97 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14300-0x1431F | 32B   | Tile 0x98 - Gryphon Sprite      | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14320-0x1433F | 32B   | Tile 0x99 - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14340-0x1435F | 32B   | Tile 0x9A - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14360-0x1437F | 32B   | Tile 0x9B - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x14380-0x1439F | 32B   | Tile 0x9C - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x143A0-0x143BF | 32B   | Tile 0x9D - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x143C0-0x143DF | 32B   | Tile 0x9E - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c5.5i  | 0x143E0-0x143FF | 32B   | Tile 0x9F - Glaive Sprite       | 16×16px, 4bpp, interleaved |
| c6.6i  | 0x15000-0x156FF | 1792B | Logical Map 1 (Collisions)      | Bank 0x05, mapped to 0x9000|
| c6.6i  | 0x15700-0x15DFF | 1792B | Logical Map 2 (Collisions)      | Bank 0x05, mapped to 0x9700|
| c6.6i  | 0x15E00-0x15EC7 | 200B  | Game Title - Lowercase a        | 20x20px, 4bpp, interleaved |
| c6.6i  | 0x15EC8-0x15FF3 | 300B  | Game Title - Lowercase k        | 30x20px, 4bpp, interleaved |
| c6.6i  | 0x15FF4-0x15FFF | 12B   | Padding / Unused Bytes (0xFF)   | Unprogrammed Bytes         |
| c7.7i  | 0x16000-0x166FF | 1792B | Logical Map 3 (Collisions)      | Bank 0x06, mapped to 0x9000|
| c7.7i  | 0x16700-0x16DFF | 1792B | Logical Map 4 (Collisions)      | Bank 0x06, mapped to 0x9700|
| c7.7i  | 0x16E00-0x16EC7 | 200B  | Game Title - Lowercase n        | 20x20px, 4bpp, interleaved |
| c7.7i  | 0x16EC8-0x16FF3 | 300B  | Game Title - Lowercase h        | 30x20px, 4bpp, interleaved |
| c7.7i  | 0x16FF4-0x16FFF | 12B   | Padding / Unused Bytes (0xFF)   | Unprogrammed Bytes         |
| c8.8i  | 0x17000-0x172FF | 768B  | Visual Map 1 (Tile Mapping)     | Bank 0x07, mapped to 0x9000|
| c8.8i  | 0x17300-0x175FF | 768B  | Visual Map 2 (Tile Mapping)     | Bank 0x07, mapped to 0x9300|
| c8.8i  | 0x17600-0x178FF | 768B  | Visual Map 3 (Tile Mapping)     | Bank 0x07, mapped to 0x9600|
